nazwa testu, srednia utylizacja hosta (0-1),ilosc migracji,zuzycie mocy (MWh),liczba aktywnych hostow,sredni czas migracji,slatah, pdm
1-thr-cth-stp,0.61,47580,171.7643,64.23,22.59,0.08733,0.00207
1-thr-cth-wpc,0.38,26092,218.3877,81.30,36.39,0.12696,0.00251
1-thr-cth-wpca,0.38,26092,218.3877,81.30,36.39,0.12696,0.00251
1-thr-cuv-lbCpuRatio,0.56,30488,175.8565,64.06,35.61,0.15028,0.00553
1-thr-cuv-pck,0.68,12947,141.3558,48.72,27.13,0.06622,0.00188
1-thr-cuv-rr,0.56,21118,177.5280,64.63,37.61,0.13433,0.00441
1-thr-cuv-stp,0.56,42772,185.8268,68.81,31.27,0.15576,0.00645
1-thr-cuv-wpc,0.54,18274,167.5463,58.77,40.78,0.14170,0.00468
1-thr-cuv-wpca,0.54,18274,167.5463,58.77,40.78,0.14170,0.00468
1-thr-lvf-lbCpuRatio,0.48,39666,201.3078,74.25,37.32,0.17004,0.00453
1-thr-lvf-pck,0.70,18622,138.4565,47.38,29.22,0.05389,0.00167
1-thr-lvf-rr,0.48,27809,200.2356,74.53,35.04,0.13407,0.00323
1-thr-lvf-stp,0.50,58227,202.8074,75.64,30.74,0.17040,0.00616
1-thr-lvf-wpc,0.43,23388,199.8338,73.07,34.60,0.12110,0.00295
1-thr-lvf-wpca,0.43,23388,199.8338,73.07,34.60,0.12110,0.00295
1-thr-maxu-lbCpuRatio,0.56,29753,174.8670,63.70,35.49,0.14655,0.00529
1-thr-maxu-pck,0.69,12934,139.9111,47.98,27.72,0.05579,0.00189
1-thr-maxu-rr,0.53,22318,181.3937,66.44,35.60,0.12706,0.00388
1-thr-maxu-stp,0.55,43375,185.2326,68.48,31.05,0.15636,0.00640
1-thr-maxu-wpc,0.51,19996,175.8331,62.48,39.17,0.13908,0.00444
1-thr-maxu-wpca,0.51,19996,175.8331,62.48,39.17,0.13908,0.00444
1-thr-mc-lbCpuRatio,0.45,43009,214.2624,79.55,40.12,0.18509,0.00467
1-thr-mc-pck,0.71,22727,138.2724,47.39,33.75,0.06321,0.00184
1-thr-mc-rr,0.44,30901,218.6266,82.76,38.19,0.14650,0.00292
1-thr-mc-stp,0.43,80883,236.7211,89.80,31.87,0.20246,0.00645
1-thr-mc-wpc,0.39,25902,216.6106,80.56,35.94,0.12560,0.00257
1-thr-mc-wpca,0.39,25902,216.6106,80.56,35.94,0.12560,0.00257
1-thr-minu-lbCpuRatio,0.32,84057,303.3188,115.81,41.26,0.23920,0.00514
1-thr-minu-pck,0.72,41491,137.4759,47.22,41.25,0.06586,0.00184
1-thr-minu-rr,0.37,37955,260.5032,101.60,38.10,0.14557,0.00167
1-thr-minu-stp,0.36,94703,282.2500,109.52,32.86,0.20680,0.00481
1-thr-minu-wpc,0.32,33118,255.8774,97.97,33.12,0.11883,0.00146
1-thr-minu-wpca,0.32,33118,255.8774,97.97,33.12,0.11883,0.00146
1-thr-mmt-lbCpuRatio,0.37,60704,257.7310,96.91,39.30,0.20520,0.00484
1-thr-mmt-pck,0.71,27173,138.9453,47.81,32.50,0.05411,0.00166
1-thr-mmt-rr,0.41,33450,235.6732,90.21,33.72,0.13163,0.00215
1-thr-mmt-stp,0.39,86946,255.0389,97.43,31.23,0.19323,0.00589
1-thr-mmt-wpc,0.35,29024,233.8008,87.98,29.43,0.10633,0.00196
1-thr-mmt-wpca,0.35,29024,233.8008,87.98,29.43,0.10633,0.00196
1-thr-rs-lbCpuRatio,0.45,42183,213.0114,79.06,40.39,0.18462,0.00461
1-thr-rs-pck,0.71,22957,139.1687,47.88,34.62,0.06463,0.00197
1-thr-rs-rr,0.45,31352,217.9448,82.51,37.86,0.14566,0.00297
1-thr-rs-stp,0.43,79400,235.2376,89.20,31.86,0.19894,0.00633
1-thr-rs-wpc,0.38,26442,218.5043,81.34,35.69,0.12541,0.00257
1-thr-rs-wpca,0.38,26344,218.1429,81.23,35.83,0.12639,0.00258
